"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 14 19:37:33 IST 2022","Fri Jan 14 19:37:33 IST 2022","0","","mouse hover","","mouse hover","mouse","mouse",""
"passed","Fri Jan 14 19:37:33 IST 2022","Fri Jan 14 19:37:50 IST 2022","17008","","mouse hover","","mouse hover","edit boxes","edit boxes",""
